backbone,seed,params,best_valid_sel_fbv1,panelA_12,panelB_13,ext_15,flat_25,flat_40,panelmean_25,true0shot_17,newKG_32,n_splits_ok,n_splits_expected,sources
gat,0,409729,0.4967,0.5427,0.3267,0.2197,0.4304,0.3514,0.4347,0.4297,0.3385,40,40,frozen_p03ter|s2
gat,1,409729,0.4927,0.5456,0.3314,0.2287,0.4342,0.3571,0.4385,0.4346,0.3456,40,40,frozen_p03ter|s2
gat,2,409729,0.4992,0.5489,0.3320,0.2360,0.4361,0.3610,0.4404,0.4367,0.3502,40,40,frozen_p03ter|s2
ginemax,0,402061,0.4596,0.5293,0.3212,0.1806,0.4211,0.3309,0.4253,0.4290,0.3194,40,40,s2
ginemax,1,402061,0.4557,0.5211,0.3064,0.1775,0.4095,0.3225,0.4138,0.4136,0.3094,40,40,s2
ginemax,2,402061,0.4634,0.5323,0.3168,0.1840,0.4202,0.3317,0.4245,0.4259,0.3193,40,40,s2
gine_sum,0,156289,0.4902,0.5101,0.2957,0.2034,0.3986,0.3254,0.4029,0.3980,0.3135,40,40,s2
gine_sum,1,156289,0.4747,0.5021,0.2896,0.1977,0.3916,0.3189,0.3958,0.3940,0.3086,40,40,s2
gine_sum,2,156289,0.4857,0.5085,0.2902,0.1951,0.3949,0.3200,0.3993,0.3977,0.3094,40,40,s2
sage,0,105601,0.4662,0.4618,0.2799,0.1708,0.3672,0.2936,0.3709,0.3632,0.2787,40,40,s2
sage,1,105601,0.4699,0.4651,0.2761,0.1548,0.3668,0.2873,0.3706,0.3639,0.2714,40,40,s2
sage,2,105601,0.4672,0.4759,0.2842,0.1620,0.3762,0.2959,0.3801,0.3758,0.2814,40,40,s2
rgcn,0,351361,0.4618,0.4202,0.1832,0.1030,0.2970,0.2242,0.3017,0.2868,0.2046,40,40,s2
rgcn,1,351361,0.4607,0.4460,0.2090,0.1069,0.3228,0.2418,0.3275,0.3181,0.2235,40,40,s2
rgcn,2,351361,0.4539,0.4371,0.2093,0.1065,0.3186,0.2391,0.3232,0.3166,0.2227,40,40,s2
