backbone,train_kg,regime,seed,split,family,regime_vs_train_fbv1,num_queries,mrr,h1,h10,mrr_reference_meme_regime,ecart
gat,CoDExSmall,standard,0,FB15k237Inductive:v1,Freebase,train+select,822,0.2993,0.2092,0.4708,0.5257,-0.2264
gat,CoDExSmall,standard,0,FB15k237Inductive:v2,Freebase,in-family,1894,0.3212,0.2297,0.5095,0.5322,-0.211
gat,CoDExSmall,standard,0,FB15k237Inductive:v3,Freebase,in-family,3462,0.3156,0.2221,0.4884,0.5052,-0.1896
gat,CoDExSmall,standard,0,FB15k237Inductive:v4,Freebase,in-family,5680,0.3175,0.2254,0.4977,0.4836,-0.1661
gat,CoDExSmall,standard,0,FBIngram:100,Freebase,in-family,4658,0.2879,0.1992,0.4663,0.4218,-0.1339
gat,CoDExSmall,standard,0,FBIngram:25,Freebase,in-family,11432,0.2448,0.1462,0.4486,0.3358,-0.091
gat,CoDExSmall,standard,0,FBIngram:50,Freebase,in-family,7758,0.2021,0.1225,0.3626,0.2912,-0.0891
gat,CoDExSmall,standard,0,FBIngram:75,Freebase,in-family,6212,0.2722,0.1856,0.438,0.3716,-0.0994
gat,CoDExSmall,standard,0,FBNELL:FBNELL_v1,Freebase+NELL,in-family-partial,1194,0.3689,0.2839,0.5394,0.1061,0.2628
gat,CoDExSmall,standard,0,HM:1k,INDIGO-HM,new-KG,952,0.0631,0.041,0.1197,0.0568,0.0063
gat,CoDExSmall,standard,0,HM:3k,INDIGO-HM,new-KG,2698,0.0597,0.0378,0.1023,0.0528,0.0069
gat,CoDExSmall,standard,0,HM:5k,INDIGO-HM,new-KG,4248,0.0542,0.0327,0.0927,0.0468,0.0074
gat,CoDExSmall,standard,0,ILPC2022:large,Wikidata,new-KG,20368,0.2484,0.1818,0.3791,0.2188,0.0296
gat,CoDExSmall,standard,0,ILPC2022:small,Wikidata,new-KG,5804,0.2635,0.1894,0.4076,0.2333,0.0302
gat,CoDExSmall,standard,0,Metafam:Metafam,Metafam,new-KG,368,0.3637,0.25,0.5679,0.3165,0.0472
gat,CoDExSmall,standard,0,NELLInductive:v1,NELL,new-KG,402,0.5567,0.505,0.6418,0.6262,-0.0695
gat,CoDExSmall,standard,0,NELLInductive:v2,NELL,new-KG,1870,0.4229,0.3262,0.6118,0.5595,-0.1366
gat,CoDExSmall,standard,0,NELLInductive:v3,NELL,new-KG,3240,0.4289,0.3475,0.5951,0.5624,-0.1335
gat,CoDExSmall,standard,0,NELLInductive:v4,NELL,new-KG,2894,0.4068,0.2999,0.6054,0.5356,-0.1288
gat,CoDExSmall,standard,0,NLIngram:0,NELL,new-KG,1526,0.23,0.1527,0.401,0.345,-0.115
gat,CoDExSmall,standard,0,NLIngram:100,NELL,new-KG,1586,0.3398,0.2579,0.5107,0.469,-0.1292
gat,CoDExSmall,standard,0,NLIngram:25,NELL,new-KG,1488,0.3127,0.2345,0.4872,0.3534,-0.0407
