dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,gat_seed0_paired,820,60,0.0288,0.0142,0.0486,0.0,0.0833,0.0167,0.1667,,,0.0136,0.0,0.0012
rel-f1,qualifying.raceId,gat_seed1_paired,820,60,0.0279,0.0129,0.0472,0.0,0.05,0.0,0.1,,,0.0136,0.0,0.0012
rel-f1,qualifying.raceId,gat_seed2_paired,820,60,0.0269,0.0147,0.0428,0.0,0.0833,0.0167,0.1667,,,0.0136,0.0,0.0012
rel-f1,qualifying.driverId,gat_seed0_paired,857,60,0.0136,0.0127,0.0146,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.driverId,gat_seed1_paired,857,60,0.0137,0.0128,0.0147,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.driverId,gat_seed2_paired,857,60,0.0137,0.0128,0.0147,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.constructorId,gat_seed0_paired,211,60,0.0471,0.0436,0.0508,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,qualifying.constructorId,gat_seed1_paired,211,60,0.0471,0.0436,0.0508,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,qualifying.constructorId,gat_seed2_paired,211,60,0.0475,0.0439,0.0513,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,races.circuitId,gat_seed0_paired,77,60,0.0333,0.0306,0.0361,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,races.circuitId,gat_seed1_paired,77,60,0.0333,0.0306,0.0361,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,races.circuitId,gat_seed2_paired,77,60,0.0333,0.0306,0.0361,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,standings.raceId,gat_seed0_paired,820,60,0.0143,0.0075,0.0235,0.0,0.0167,0.0,0.05,,,0.0279,0.0333,0.0012
rel-f1,standings.raceId,gat_seed1_paired,820,60,0.0126,0.0071,0.0191,0.0,0.0333,0.0,0.0833,,,0.0279,0.0333,0.0012
rel-f1,standings.raceId,gat_seed2_paired,820,60,0.0141,0.0073,0.0229,0.0,0.0333,0.0,0.0833,,,0.0279,0.0333,0.0012
rel-f1,standings.driverId,gat_seed0_paired,857,60,0.0077,0.0065,0.009,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,standings.driverId,gat_seed1_paired,857,60,0.0077,0.0065,0.0091,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,standings.driverId,gat_seed2_paired,857,60,0.0078,0.0066,0.0091,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,constructor_standings.raceId,gat_seed0_paired,820,60,0.0074,0.0051,0.0103,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.raceId,gat_seed1_paired,820,60,0.0066,0.0046,0.009,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.raceId,gat_seed2_paired,820,60,0.0066,0.0044,0.0093,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.constructorId,gat_seed0_paired,211,60,0.0407,0.0357,0.0458,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_standings.constructorId,gat_seed1_paired,211,60,0.0405,0.0354,0.0457,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_standings.constructorId,gat_seed2_paired,211,60,0.0409,0.0358,0.0459,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_results.raceId,gat_seed0_paired,820,60,0.0072,0.0048,0.01,0.0,0.0,0.0,0.0,,,0.0107,0.0,0.0012
rel-f1,constructor_results.raceId,gat_seed1_paired,820,60,0.0063,0.0042,0.0087,0.0,0.0,0.0,0.0,,,0.0107,0.0,0.0012
rel-f1,constructor_results.raceId,gat_seed2_paired,820,60,0.0071,0.0043,0.0101,0.0,0.0,0.0,0.0,,,0.0107,0.0,0.0012
rel-f1,constructor_results.constructorId,gat_seed0_paired,211,60,0.0432,0.0372,0.0497,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,constructor_results.constructorId,gat_seed1_paired,211,60,0.0414,0.0362,0.0474,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,constructor_results.constructorId,gat_seed2_paired,211,60,0.0427,0.037,0.0489,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,results.raceId,gat_seed0_paired,820,60,0.0059,0.0042,0.0078,0.0,0.0,0.0,0.0,,,0.0066,0.0,0.0012
rel-f1,results.raceId,gat_seed1_paired,820,60,0.0064,0.0044,0.0092,0.0,0.0,0.0,0.0,,,0.0066,0.0,0.0012
rel-f1,results.raceId,gat_seed2_paired,820,60,0.006,0.0042,0.0083,0.0,0.0,0.0,0.0,,,0.0066,0.0,0.0012
rel-f1,results.driverId,gat_seed0_paired,857,60,0.0095,0.0081,0.0108,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.driverId,gat_seed1_paired,857,60,0.0094,0.008,0.0107,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.driverId,gat_seed2_paired,857,60,0.0095,0.0081,0.0108,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.constructorId,gat_seed0_paired,211,60,0.0299,0.0268,0.0327,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
rel-f1,results.constructorId,gat_seed1_paired,211,60,0.0297,0.0268,0.0324,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
rel-f1,results.constructorId,gat_seed2_paired,211,60,0.0297,0.0268,0.0324,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
