dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,ginemax1g_seed0_paired,820,60,0.0258,0.0156,0.0402,0.0,0.05,0.0,0.1167,,,0.0136,0.0,0.0012
rel-f1,qualifying.raceId,ginemax1g_seed1_paired,820,60,0.0263,0.0166,0.0404,0.0,0.05,0.0,0.1167,,,0.0136,0.0,0.0012
rel-f1,qualifying.raceId,ginemax1g_seed2_paired,820,60,0.0292,0.0168,0.0473,0.0,0.0333,0.0,0.0833,,,0.0136,0.0,0.0012
rel-f1,qualifying.driverId,ginemax1g_seed0_paired,857,60,0.0174,0.017,0.0177,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.driverId,ginemax1g_seed1_paired,857,60,0.0158,0.0153,0.0163,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.driverId,ginemax1g_seed2_paired,857,60,0.0146,0.014,0.0151,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.constructorId,ginemax1g_seed0_paired,211,60,0.0677,0.0652,0.07,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,qualifying.constructorId,ginemax1g_seed1_paired,211,60,0.0528,0.0484,0.0567,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,qualifying.constructorId,ginemax1g_seed2_paired,211,60,0.0516,0.0474,0.0557,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,races.circuitId,ginemax1g_seed0_paired,77,60,0.0309,0.0284,0.0333,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,races.circuitId,ginemax1g_seed1_paired,77,60,0.0279,0.0246,0.0309,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,races.circuitId,ginemax1g_seed2_paired,77,60,0.0272,0.0242,0.0301,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,standings.raceId,ginemax1g_seed0_paired,820,60,0.0032,0.0024,0.0042,0.0,0.0,0.0,0.0,,,0.0279,0.0333,0.0012
rel-f1,standings.raceId,ginemax1g_seed1_paired,820,60,0.0047,0.0031,0.0066,0.0,0.0,0.0,0.0,,,0.0279,0.0333,0.0012
rel-f1,standings.raceId,ginemax1g_seed2_paired,820,60,0.0093,0.0062,0.0131,0.0,0.0,0.0,0.0,,,0.0279,0.0333,0.0012
rel-f1,standings.driverId,ginemax1g_seed0_paired,857,60,0.0043,0.0038,0.005,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,standings.driverId,ginemax1g_seed1_paired,857,60,0.0044,0.0039,0.0051,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,standings.driverId,ginemax1g_seed2_paired,857,60,0.0023,0.0019,0.0028,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,constructor_standings.raceId,ginemax1g_seed0_paired,820,60,0.0033,0.0025,0.0044,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.raceId,ginemax1g_seed1_paired,820,60,0.0048,0.003,0.0076,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.raceId,ginemax1g_seed2_paired,820,60,0.0029,0.0024,0.0035,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.constructorId,ginemax1g_seed0_paired,211,60,0.0223,0.0198,0.025,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_standings.constructorId,ginemax1g_seed1_paired,211,60,0.0219,0.0196,0.0244,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_standings.constructorId,ginemax1g_seed2_paired,211,60,0.0088,0.0084,0.0093,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_results.raceId,ginemax1g_seed0_paired,820,60,0.0039,0.0027,0.0057,0.0,0.0,0.0,0.0,,,0.0107,0.0,0.0012
rel-f1,constructor_results.raceId,ginemax1g_seed1_paired,820,60,0.0048,0.0036,0.0064,0.0,0.0,0.0,0.0,,,0.0107,0.0,0.0012
rel-f1,constructor_results.raceId,ginemax1g_seed2_paired,820,60,0.003,0.0024,0.0038,0.0,0.0,0.0,0.0,,,0.0107,0.0,0.0012
rel-f1,constructor_results.constructorId,ginemax1g_seed0_paired,211,60,0.0193,0.017,0.0217,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,constructor_results.constructorId,ginemax1g_seed1_paired,211,60,0.0154,0.0139,0.0169,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,constructor_results.constructorId,ginemax1g_seed2_paired,211,60,0.0135,0.0124,0.0148,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,results.raceId,ginemax1g_seed0_paired,820,60,0.024,0.0124,0.0375,0.0,0.1,0.0333,0.1833,,,0.0066,0.0,0.0012
rel-f1,results.raceId,ginemax1g_seed1_paired,820,60,0.0079,0.0045,0.0118,0.0,0.0,0.0,0.0,,,0.0066,0.0,0.0012
rel-f1,results.raceId,ginemax1g_seed2_paired,820,60,0.0342,0.0118,0.0699,0.0167,0.0667,0.0167,0.1333,,,0.0066,0.0,0.0012
rel-f1,results.driverId,ginemax1g_seed0_paired,857,60,0.0059,0.0048,0.0072,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.driverId,ginemax1g_seed1_paired,857,60,0.0036,0.0027,0.0047,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.driverId,ginemax1g_seed2_paired,857,60,0.0089,0.0081,0.0097,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.constructorId,ginemax1g_seed0_paired,211,60,0.0222,0.0194,0.0249,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
rel-f1,results.constructorId,ginemax1g_seed1_paired,211,60,0.0116,0.0104,0.0128,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
rel-f1,results.constructorId,ginemax1g_seed2_paired,211,60,0.015,0.0134,0.017,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
