dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,r48rec1g_seed0_paired,820,60,0.0288,0.0152,0.0488,0.0,0.0667,0.0167,0.15,,,0.0136,0.0,0.0012
rel-f1,qualifying.raceId,r48rec1g_seed1_paired,820,60,0.0365,0.0167,0.0637,0.0,0.05,0.0,0.1167,,,0.0136,0.0,0.0012
rel-f1,qualifying.raceId,r48rec1g_seed2_paired,820,60,0.0404,0.0169,0.0865,0.0167,0.0667,0.0167,0.1333,,,0.0136,0.0,0.0012
rel-f1,qualifying.driverId,r48rec1g_seed0_paired,857,60,0.0104,0.0098,0.0111,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.driverId,r48rec1g_seed1_paired,857,60,0.0092,0.0087,0.0097,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.driverId,r48rec1g_seed2_paired,857,60,0.0111,0.0105,0.0118,0.0,0.0,0.0,0.0,,,0.1196,0.35,0.0012
rel-f1,qualifying.constructorId,r48rec1g_seed0_paired,211,60,0.0367,0.0337,0.04,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,qualifying.constructorId,r48rec1g_seed1_paired,211,60,0.0408,0.0377,0.044,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,qualifying.constructorId,r48rec1g_seed2_paired,211,60,0.0388,0.0356,0.0426,0.0,0.0,0.0,0.0,,,0.1619,0.6333,0.0047
rel-f1,races.circuitId,r48rec1g_seed0_paired,77,60,0.0308,0.0279,0.0337,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,races.circuitId,r48rec1g_seed1_paired,77,60,0.0309,0.0283,0.0337,0.0,0.0,0.0,0.0,,,0.1933,0.4,0.013
rel-f1,races.circuitId,r48rec1g_seed2_paired,77,60,0.0943,0.0649,0.128,0.0,0.2667,0.1667,0.3833,,,0.1933,0.4,0.013
rel-f1,standings.raceId,r48rec1g_seed0_paired,820,60,0.0146,0.0074,0.0248,0.0,0.0333,0.0,0.0833,,,0.0279,0.0333,0.0012
rel-f1,standings.raceId,r48rec1g_seed1_paired,820,60,0.0055,0.0033,0.0084,0.0,0.0,0.0,0.0,,,0.0279,0.0333,0.0012
rel-f1,standings.raceId,r48rec1g_seed2_paired,820,60,0.0047,0.0027,0.0084,0.0,0.0167,0.0,0.05,,,0.0279,0.0333,0.0012
rel-f1,standings.driverId,r48rec1g_seed0_paired,857,60,0.0023,0.0019,0.0028,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,standings.driverId,r48rec1g_seed1_paired,857,60,0.0022,0.0018,0.0027,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,standings.driverId,r48rec1g_seed2_paired,857,60,0.003,0.0022,0.004,0.0,0.0,0.0,0.0,,,0.0492,0.0833,0.0012
rel-f1,constructor_standings.raceId,r48rec1g_seed0_paired,820,60,0.0058,0.0042,0.0075,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.raceId,r48rec1g_seed1_paired,820,60,0.0105,0.0047,0.0201,0.0,0.0167,0.0,0.05,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.raceId,r48rec1g_seed2_paired,820,60,0.0063,0.0045,0.0085,0.0,0.0,0.0,0.0,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.constructorId,r48rec1g_seed0_paired,211,60,0.0091,0.0086,0.0097,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_standings.constructorId,r48rec1g_seed1_paired,211,60,0.0195,0.0173,0.0219,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_standings.constructorId,r48rec1g_seed2_paired,211,60,0.0093,0.0088,0.0098,0.0,0.0,0.0,0.0,,,0.1771,0.4167,0.0047
rel-f1,constructor_results.raceId,r48rec1g_seed0_paired,820,60,0.0133,0.0072,0.0215,0.0,0.0333,0.0,0.1,,,0.0107,0.0,0.0012
rel-f1,constructor_results.raceId,r48rec1g_seed1_paired,820,60,0.0063,0.0046,0.0084,0.0,0.0,0.0,0.0,,,0.0107,0.0,0.0012
rel-f1,constructor_results.raceId,r48rec1g_seed2_paired,820,60,0.0108,0.0067,0.0164,0.0,0.0167,0.0,0.05,,,0.0107,0.0,0.0012
rel-f1,constructor_results.constructorId,r48rec1g_seed0_paired,211,60,0.0124,0.0113,0.0137,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,constructor_results.constructorId,r48rec1g_seed1_paired,211,60,0.0151,0.0136,0.0167,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,constructor_results.constructorId,r48rec1g_seed2_paired,211,60,0.0129,0.0118,0.0143,0.0,0.0,0.0,0.0,,,0.244,0.4667,0.0047
rel-f1,results.raceId,r48rec1g_seed0_paired,820,60,0.022,0.0038,0.0558,0.0167,0.0167,0.0,0.05,,,0.0066,0.0,0.0012
rel-f1,results.raceId,r48rec1g_seed1_paired,820,60,0.0049,0.003,0.0076,0.0,0.0,0.0,0.0,,,0.0066,0.0,0.0012
rel-f1,results.raceId,r48rec1g_seed2_paired,820,60,0.0094,0.0049,0.0157,0.0,0.0333,0.0,0.0833,,,0.0066,0.0,0.0012
rel-f1,results.driverId,r48rec1g_seed0_paired,857,60,0.0047,0.0041,0.0053,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.driverId,r48rec1g_seed1_paired,857,60,0.0026,0.0021,0.0034,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.driverId,r48rec1g_seed2_paired,857,60,0.0069,0.0058,0.0079,0.0,0.0,0.0,0.0,,,0.0786,0.1833,0.0012
rel-f1,results.constructorId,r48rec1g_seed0_paired,211,60,0.0152,0.0136,0.0171,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
rel-f1,results.constructorId,r48rec1g_seed1_paired,211,60,0.0091,0.0075,0.0113,0.0,0.0,0.0,0.0,,,0.1972,0.4667,0.0047
rel-f1,results.constructorId,r48rec1g_seed2_paired,211,60,0.0371,0.0121,0.0781,0.0167,0.0333,0.0,0.0833,,,0.1972,0.4667,0.0047
