dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,re48_seed2,820,200,0.0388,0.031,0.0474,0.0,0.105,0.065,0.15,0.0173,0.015,0.0123,0.0,0.0012
rel-f1,qualifying.driverId,re48_seed2,857,200,0.4547,0.4182,0.4928,0.15,0.955,0.925,0.98,0.0106,0.0,0.1323,0.35,0.0012
rel-f1,qualifying.constructorId,re48_seed2,211,200,0.8575,0.8251,0.8904,0.745,1.0,1.0,1.0,0.0363,0.0,0.1805,0.645,0.0047
rel-f1,races.circuitId,re48_seed2,77,200,0.1234,0.1022,0.1456,0.015,0.4,0.33,0.47,0.027,0.0,0.2087,0.53,0.013
rel-f1,standings.raceId,re48_seed2,820,200,0.0216,0.0135,0.0332,0.005,0.045,0.02,0.075,0.0207,0.03,0.0163,0.035,0.0012
rel-f1,standings.driverId,re48_seed2,857,200,0.0039,0.0033,0.0047,0.0,0.0,0.0,0.0,0.0025,0.0,0.051,0.09,0.0012
rel-f1,constructor_standings.raceId,re48_seed2,820,200,0.0156,0.011,0.0217,0.0,0.015,0.0,0.03,0.0111,0.01,0.0053,0.0,0.0012
rel-f1,constructor_standings.constructorId,re48_seed2,211,200,0.0201,0.0188,0.0216,0.0,0.005,0.0,0.015,0.01,0.0,0.1688,0.41,0.0047
rel-f1,constructor_results.raceId,re48_seed2,820,200,0.022,0.0136,0.0342,0.005,0.035,0.01,0.06,0.0079,0.005,0.0062,0.0,0.0012
rel-f1,constructor_results.constructorId,re48_seed2,211,200,0.0619,0.0594,0.0645,0.0,0.035,0.01,0.06,0.0135,0.0,0.1981,0.45,0.0047
rel-f1,results.raceId,re48_seed2,820,200,0.0387,0.0265,0.0555,0.005,0.08,0.045,0.12,0.0173,0.02,0.0159,0.01,0.0012
rel-f1,results.driverId,re48_seed2,857,200,0.334,0.2953,0.372,0.115,0.81,0.755,0.86,0.0043,0.0,0.0407,0.105,0.0012
rel-f1,results.constructorId,re48_seed2,211,200,0.731,0.6853,0.7731,0.575,0.985,0.965,1.0,0.0106,0.0,0.1835,0.415,0.0047
