dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,run48,820,60,0.0222,0.0165,0.0289,0.0,0.0333,0.0,0.0833,0.0217,0.05,0.0293,0.0167,0.0012
rel-f1,qualifying.driverId,run48,857,60,0.3716,0.2995,0.4451,0.15,0.9333,0.8667,0.9833,0.0104,0.0,0.136,0.3333,0.0012
rel-f1,qualifying.constructorId,run48,211,60,0.5461,0.458,0.633,0.3333,1.0,1.0,1.0,0.036,0.0,0.179,0.7,0.0047
rel-f1,races.circuitId,run48,77,60,0.1132,0.0809,0.1518,0.0167,0.3333,0.2167,0.45,0.0278,0.0,0.2345,0.6333,0.013
rel-f1,standings.raceId,run48,820,60,0.0323,0.0233,0.0419,0.0,0.1167,0.05,0.2,0.0191,0.05,0.0175,0.05,0.0012
rel-f1,standings.driverId,run48,857,60,0.0269,0.0211,0.0326,0.0,0.0167,0.0,0.05,0.0026,0.0,0.0638,0.0833,0.0012
rel-f1,constructor_standings.raceId,run48,820,60,0.0107,0.0075,0.0146,0.0,0.0,0.0,0.0,0.0067,0.0,0.006,0.0,0.0012
rel-f1,constructor_standings.constructorId,run48,211,60,0.0635,0.0568,0.0707,0.0,0.1,0.0333,0.1833,0.0105,0.0,0.1744,0.3833,0.0047
rel-f1,constructor_results.raceId,run48,820,60,0.0145,0.0089,0.0219,0.0,0.0333,0.0,0.0833,0.0139,0.0167,0.0071,0.0,0.0012
rel-f1,constructor_results.constructorId,run48,211,60,0.1096,0.0993,0.1206,0.0,0.6,0.4667,0.7167,0.013,0.0,0.2484,0.5667,0.0047
rel-f1,results.raceId,run48,820,60,0.04,0.0134,0.0809,0.0167,0.05,0.0,0.1167,0.0246,0.05,0.026,0.0167,0.0012
rel-f1,results.driverId,run48,857,60,0.2898,0.2274,0.3592,0.1,0.7833,0.6833,0.8833,0.0044,0.0,0.0306,0.0833,0.0012
rel-f1,results.constructorId,run48,211,60,0.6478,0.566,0.7349,0.4833,0.9667,0.9167,1.0,0.0115,0.0,0.2109,0.4333,0.0047
