dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,ultra_50g,820,60,0.024,0.0155,0.034,0.0,0.0667,0.0167,0.1333,0.0014,0.0,0.0136,0.0,0.0012
rel-f1,qualifying.driverId,ultra_50g,857,60,0.3814,0.2981,0.4759,0.2,0.65,0.5333,0.7667,0.0012,0.0,0.1196,0.35,0.0012
rel-f1,qualifying.constructorId,ultra_50g,211,60,0.7145,0.623,0.8039,0.55,0.95,0.9,1.0,0.0052,0.0,0.1619,0.6333,0.0047
rel-f1,races.circuitId,ultra_50g,77,60,0.1411,0.0904,0.2009,0.0333,0.3167,0.2,0.4333,0.0185,0.0,0.1933,0.4,0.013
rel-f1,standings.raceId,ultra_50g,820,60,0.0096,0.0061,0.0141,0.0,0.0,0.0,0.0,0.0094,0.0333,0.0279,0.0333,0.0012
rel-f1,standings.driverId,ultra_50g,857,60,0.0293,0.0168,0.0485,0.0,0.0667,0.0167,0.1333,0.0015,0.0,0.0492,0.0833,0.0012
rel-f1,constructor_standings.raceId,ultra_50g,820,60,0.0062,0.0026,0.0124,0.0,0.0167,0.0,0.05,0.0037,0.0,0.0072,0.0,0.0012
rel-f1,constructor_standings.constructorId,ultra_50g,211,60,0.1703,0.1091,0.2402,0.0833,0.3833,0.2663,0.5167,0.0061,0.0,0.1771,0.4167,0.0047
rel-f1,constructor_results.raceId,ultra_50g,820,60,0.0128,0.0048,0.025,0.0,0.0167,0.0,0.05,0.0038,0.0,0.0107,0.0,0.0012
rel-f1,constructor_results.constructorId,ultra_50g,211,60,0.2169,0.1492,0.3005,0.1167,0.4667,0.35,0.6,0.0061,0.0,0.244,0.4667,0.0047
rel-f1,results.raceId,ultra_50g,820,60,0.0285,0.0069,0.0555,0.0,0.0833,0.0167,0.15,0.0043,0.0,0.0066,0.0,0.0012
rel-f1,results.driverId,ultra_50g,857,60,0.1515,0.0803,0.2293,0.0833,0.3,0.1833,0.4167,0.0015,0.0,0.0786,0.1833,0.0012
rel-f1,results.constructorId,ultra_50g,211,60,0.4531,0.3557,0.5484,0.2833,0.7833,0.6833,0.8833,0.0057,0.0,0.1972,0.4667,0.0047
