dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,ginemax1g_seed0_paired,333893,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0007,0.0,0.0
rel-stack,votes.PostId,ginemax1g_seed1_paired,333893,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0007,0.0,0.0
rel-stack,votes.PostId,ginemax1g_seed2_paired,333893,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0007,0.0,0.0
rel-stack,votes.UserId,ginemax1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0664,0.1333,0.0
rel-stack,votes.UserId,ginemax1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0664,0.1333,0.0
rel-stack,votes.UserId,ginemax1g_seed2_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0664,0.1333,0.0
rel-stack,badges.UserId,ginemax1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0339,0.0667,0.0
rel-stack,badges.UserId,ginemax1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0339,0.0667,0.0
rel-stack,badges.UserId,ginemax1g_seed2_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0339,0.0667,0.0
rel-stack,posts.OwnerUserId,ginemax1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0334,0.05,0.0
rel-stack,posts.OwnerUserId,ginemax1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0334,0.05,0.0
rel-stack,posts.OwnerUserId,ginemax1g_seed2_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0334,0.05,0.0
rel-stack,posts.ParentId,ginemax1g_seed0_paired,333893,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,posts.ParentId,ginemax1g_seed1_paired,333893,60,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,posts.ParentId,ginemax1g_seed2_paired,333893,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,comments.UserId,ginemax1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1157,0.1833,0.0
rel-stack,comments.UserId,ginemax1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1157,0.1833,0.0
rel-stack,comments.UserId,ginemax1g_seed2_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1157,0.1833,0.0
rel-stack,comments.PostId,ginemax1g_seed0_paired,333893,60,0.1097,0.0423,0.1932,0.1,0.1167,0.05,0.2,,,0.0,0.0,0.0
rel-stack,comments.PostId,ginemax1g_seed1_paired,333893,60,0.1453,0.0622,0.2347,0.1333,0.1667,0.0833,0.2667,,,0.0,0.0,0.0
rel-stack,comments.PostId,ginemax1g_seed2_paired,333893,60,0.1346,0.0571,0.2178,0.1167,0.1667,0.0833,0.2667,,,0.0,0.0,0.0
rel-stack,postHistory.PostId,ginemax1g_seed0_paired,333893,60,0.2295,0.1378,0.3318,0.1667,0.3333,0.2167,0.45,,,0.0,0.0,0.0
rel-stack,postHistory.PostId,ginemax1g_seed1_paired,333893,60,0.2173,0.1302,0.3177,0.1667,0.35,0.2333,0.4667,,,0.0,0.0,0.0
rel-stack,postHistory.PostId,ginemax1g_seed2_paired,333893,60,0.1936,0.1138,0.2876,0.1333,0.3333,0.2167,0.45,,,0.0,0.0,0.0
rel-stack,postHistory.UserId,ginemax1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0804,0.2,0.0
rel-stack,postHistory.UserId,ginemax1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0804,0.2,0.0
rel-stack,postHistory.UserId,ginemax1g_seed2_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0804,0.2,0.0
rel-stack,postLinks.PostId,ginemax1g_seed0_paired,333893,60,0.0272,0.0022,0.0543,0.0,0.0667,0.0167,0.1333,,,0.0002,0.0,0.0
rel-stack,postLinks.PostId,ginemax1g_seed1_paired,333893,60,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,postLinks.PostId,ginemax1g_seed2_paired,333893,60,0.0018,0.0001,0.0043,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,postLinks.RelatedPostId,ginemax1g_seed0_paired,333893,60,0.0014,0.0006,0.0025,0.0,0.0,0.0,0.0,,,0.0165,0.0333,0.0
rel-stack,postLinks.RelatedPostId,ginemax1g_seed1_paired,333893,60,0.0007,0.0003,0.0012,0.0,0.0,0.0,0.0,,,0.0165,0.0333,0.0
rel-stack,postLinks.RelatedPostId,ginemax1g_seed2_paired,333893,60,0.0046,0.0013,0.0093,0.0,0.0167,0.0,0.05,,,0.0165,0.0333,0.0
