dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,r48rec1g_seed0_paired,333893,60,0.0004,0.0002,0.0007,0.0,0.0,0.0,0.0,,,0.0007,0.0,0.0
rel-stack,votes.PostId,r48rec1g_seed1_paired,333893,60,0.0002,0.0001,0.0004,0.0,0.0,0.0,0.0,,,0.0007,0.0,0.0
rel-stack,votes.PostId,r48rec1g_seed2_paired,333893,60,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,,,0.0007,0.0,0.0
rel-stack,votes.UserId,r48rec1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0664,0.1333,0.0
rel-stack,votes.UserId,r48rec1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0664,0.1333,0.0
rel-stack,votes.UserId,r48rec1g_seed2_paired,255360,60,0.0167,0.0,0.05,0.0167,0.0167,0.0,0.05,,,0.0664,0.1333,0.0
rel-stack,badges.UserId,r48rec1g_seed0_paired,255360,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0339,0.0667,0.0
rel-stack,badges.UserId,r48rec1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0339,0.0667,0.0
rel-stack,badges.UserId,r48rec1g_seed2_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0339,0.0667,0.0
rel-stack,posts.OwnerUserId,r48rec1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0334,0.05,0.0
rel-stack,posts.OwnerUserId,r48rec1g_seed1_paired,255360,60,0.0167,0.0,0.05,0.0167,0.0167,0.0,0.05,,,0.0334,0.05,0.0
rel-stack,posts.OwnerUserId,r48rec1g_seed2_paired,255360,60,0.6083,0.5152,0.7084,0.4333,0.8333,0.7333,0.9167,,,0.0334,0.05,0.0
rel-stack,posts.ParentId,r48rec1g_seed0_paired,333893,60,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,posts.ParentId,r48rec1g_seed1_paired,333893,60,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,posts.ParentId,r48rec1g_seed2_paired,333893,60,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,comments.UserId,r48rec1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1157,0.1833,0.0
rel-stack,comments.UserId,r48rec1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1157,0.1833,0.0
rel-stack,comments.UserId,r48rec1g_seed2_paired,255360,60,0.3186,0.202,0.4345,0.3167,0.3167,0.2,0.4333,,,0.1157,0.1833,0.0
rel-stack,comments.PostId,r48rec1g_seed0_paired,333893,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
rel-stack,comments.PostId,r48rec1g_seed1_paired,333893,60,0.0621,0.0128,0.1295,0.05,0.0833,0.0167,0.1667,,,0.0,0.0,0.0
rel-stack,comments.PostId,r48rec1g_seed2_paired,333893,60,0.0898,0.0292,0.1676,0.0667,0.1167,0.05,0.2,,,0.0,0.0,0.0
rel-stack,postHistory.PostId,r48rec1g_seed0_paired,333893,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
rel-stack,postHistory.PostId,r48rec1g_seed1_paired,333893,60,0.0872,0.0295,0.1547,0.0667,0.1,0.0333,0.1833,,,0.0,0.0,0.0
rel-stack,postHistory.PostId,r48rec1g_seed2_paired,333893,60,0.0699,0.0053,0.1373,0.0667,0.0833,0.0167,0.1667,,,0.0,0.0,0.0
rel-stack,postHistory.UserId,r48rec1g_seed0_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0804,0.2,0.0
rel-stack,postHistory.UserId,r48rec1g_seed1_paired,255360,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0804,0.2,0.0
rel-stack,postHistory.UserId,r48rec1g_seed2_paired,255360,60,0.7167,0.6084,0.8167,0.6833,0.75,0.65,0.85,,,0.0804,0.2,0.0
rel-stack,postLinks.PostId,r48rec1g_seed0_paired,333893,60,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,postLinks.PostId,r48rec1g_seed1_paired,333893,60,0.0003,0.0,0.0009,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,postLinks.PostId,r48rec1g_seed2_paired,333893,60,0.0003,0.0,0.0006,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,postLinks.RelatedPostId,r48rec1g_seed0_paired,333893,60,0.0049,0.0019,0.0095,0.0,0.0167,0.0,0.05,,,0.0165,0.0333,0.0
rel-stack,postLinks.RelatedPostId,r48rec1g_seed1_paired,333893,60,0.0008,0.0003,0.0017,0.0,0.0,0.0,0.0,,,0.0165,0.0333,0.0
rel-stack,postLinks.RelatedPostId,r48rec1g_seed2_paired,333893,60,0.0049,0.001,0.0121,0.0,0.0167,0.0,0.05,,,0.0165,0.0333,0.0
