dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,re48_seed0,333893,60,0.0008,0.0001,0.002,0.0,0.0,0.0,0.0,0.0009,0.0,0.0008,0.0,0.0
rel-stack,votes.UserId,re48_seed0,255360,60,0.5084,0.3931,0.6237,0.4667,0.6,0.4833,0.7167,0.0,0.0,0.073,0.1167,0.0
rel-stack,badges.UserId,re48_seed0,255360,60,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0333,0.0
rel-stack,posts.OwnerUserId,re48_seed0,255360,60,0.4519,0.3657,0.5463,0.2167,0.75,0.65,0.85,0.0,0.0,0.0167,0.0333,0.0
rel-stack,posts.ParentId,re48_seed0,333893,60,0.0002,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
rel-stack,comments.UserId,re48_seed0,255360,60,0.4531,0.3557,0.5513,0.2667,0.7,0.5833,0.8167,0.0,0.0,0.1152,0.1833,0.0
rel-stack,comments.PostId,re48_seed0,333893,60,0.1801,0.0955,0.2698,0.15,0.25,0.15,0.3504,0.0006,0.0,0.0001,0.0,0.0
rel-stack,postHistory.PostId,re48_seed0,333893,60,0.2584,0.1701,0.3499,0.15,0.4833,0.35,0.6167,0.0,0.0,0.0004,0.0,0.0
rel-stack,postHistory.UserId,re48_seed0,255360,60,0.7051,0.6009,0.8042,0.6167,0.8,0.7,0.9,0.0,0.0,0.1345,0.2167,0.0
rel-stack,postLinks.PostId,re48_seed0,333893,60,0.0418,0.0084,0.0876,0.0167,0.0833,0.0167,0.1667,0.0001,0.0,0.0008,0.0,0.0
rel-stack,postLinks.RelatedPostId,re48_seed0,333893,60,0.0414,0.0047,0.0915,0.0333,0.05,0.0,0.1167,0.0241,0.0333,0.015,0.0333,0.0
