dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,run48,333893,60,0.0003,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0003,0.0,0.0004,0.0,0.0
rel-stack,votes.UserId,run48,255360,60,0.443,0.3231,0.5633,0.4333,0.4667,0.35,0.5833,0.0,0.0,0.073,0.1167,0.0
rel-stack,badges.UserId,run48,255360,60,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0333,0.0
rel-stack,posts.OwnerUserId,run48,255360,60,0.4588,0.3666,0.5547,0.2333,0.75,0.65,0.85,0.0,0.0,0.0167,0.0333,0.0
rel-stack,posts.ParentId,run48,333893,60,0.0002,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
rel-stack,comments.UserId,run48,255360,60,0.4092,0.3067,0.515,0.2833,0.5833,0.4667,0.7,0.0,0.0,0.1152,0.1833,0.0
rel-stack,comments.PostId,run48,333893,60,0.179,0.0928,0.2735,0.15,0.25,0.15,0.3504,0.0006,0.0,0.0001,0.0,0.0
rel-stack,postHistory.PostId,run48,333893,60,0.2853,0.1888,0.3801,0.1833,0.4833,0.35,0.6167,0.0,0.0,0.0004,0.0,0.0
rel-stack,postHistory.UserId,run48,255360,60,0.6959,0.5874,0.8001,0.6333,0.7667,0.6663,0.8667,0.0,0.0,0.1345,0.2167,0.0
rel-stack,postLinks.PostId,run48,333893,60,0.0445,0.0084,0.0917,0.0167,0.0833,0.0167,0.1667,0.0001,0.0,0.0008,0.0,0.0
rel-stack,postLinks.RelatedPostId,run48,333893,60,0.039,0.0041,0.0891,0.0333,0.0333,0.0,0.0833,0.0241,0.0333,0.015,0.0333,0.0
