dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,ultra_4g,333893,60,0.0007,0.0002,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0
rel-stack,votes.UserId,ultra_4g,255360,60,0.4659,0.3438,0.5801,0.4333,0.55,0.4329,0.6667,0.0,0.0,0.0664,0.1333,0.0
rel-stack,badges.UserId,ultra_4g,255360,60,0.0004,0.0002,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.0667,0.0
rel-stack,posts.OwnerUserId,ultra_4g,255360,60,0.6848,0.5828,0.7814,0.6,0.8333,0.7333,0.9167,0.0,0.0,0.0334,0.05,0.0
rel-stack,posts.ParentId,ultra_4g,333893,60,0.0084,0.0,0.0334,0.0,0.0167,0.0,0.0667,0.0,0.0,0.0002,0.0,0.0
rel-stack,comments.UserId,ultra_4g,255360,60,0.0639,0.0304,0.1101,0.0167,0.1667,0.0833,0.2667,0.0,0.0,0.1157,0.1833,0.0
rel-stack,comments.PostId,ultra_4g,333893,60,0.1287,0.0629,0.2099,0.0833,0.2167,0.1167,0.3167,0.0,0.0,0.0,0.0,0.0
rel-stack,postHistory.PostId,ultra_4g,333893,60,0.2091,0.1214,0.3064,0.15,0.3167,0.2,0.4333,0.0,0.0,0.0,0.0,0.0
rel-stack,postHistory.UserId,ultra_4g,255360,60,0.063,0.0249,0.1145,0.0333,0.15,0.0667,0.2333,0.0,0.0,0.0804,0.2,0.0
rel-stack,postLinks.PostId,ultra_4g,333893,60,0.0069,0.0008,0.016,0.0,0.0333,0.0,0.0833,0.0,0.0,0.0002,0.0,0.0
rel-stack,postLinks.RelatedPostId,ultra_4g,333893,60,0.0162,0.0028,0.0379,0.0,0.0333,0.0,0.0833,0.0,0.0,0.0165,0.0333,0.0
