dataset,panel,num_queries,reifm018_mrr,reifm018_mrr_ci_lo,reifm018_mrr_ci_hi,reifm018_h@1,reifm018_h@10,reifm_generic_mrr,ultra3g_mrr,ultra3g_h@1,ultra3g_h@10,pct_ultra_mrr
FB15k237Inductive:v1,A_GraIL,822,0.4915,0.4628,0.5205,0.3844,0.6618,0.4146,0.4863,0.3893,0.6569,101.1
FB15k237Inductive:v2,A_GraIL,1894,0.5165,0.4962,0.5360,0.4124,0.7043,0.4544,0.5010,0.4018,0.6943,103.1
FB15k237Inductive:v3,A_GraIL,3462,0.4765,0.4626,0.4912,0.3819,0.6384,0.4114,0.4821,0.3908,0.6444,98.8
FB15k237Inductive:v4,A_GraIL,5680,0.4616,0.4507,0.4737,0.3600,0.6465,0.4034,0.4770,0.3713,0.6708,96.8
WN18RRInductive:v1,A_GraIL,746,0.6166,0.5850,0.6483,0.5523,0.7306,0.6505,0.5929,0.5013,0.7788,104.0
WN18RRInductive:v2,A_GraIL,1704,0.6029,0.5813,0.6243,0.5405,0.7025,0.6353,0.6205,0.5469,0.7518,97.2
WN18RRInductive:v3,A_GraIL,2286,0.3060,0.2892,0.3243,0.2664,0.3710,0.3370,0.3712,0.3075,0.4939,82.4
WN18RRInductive:v4,A_GraIL,5646,0.5661,0.5544,0.5782,0.5138,0.6527,0.5942,0.4842,0.3882,0.6872,116.9
NELLInductive:v1,A_GraIL,402,0.7730,0.7339,0.8091,0.7413,0.8433,0.6386,0.7270,0.6741,0.8632,106.3
NELLInductive:v2,A_GraIL,1870,0.5086,0.4905,0.5266,0.4080,0.7037,0.4507,0.5247,0.4118,0.7187,96.9
NELLInductive:v3,A_GraIL,3240,0.5285,0.5133,0.5438,0.4272,0.7068,0.4797,0.5112,0.4142,0.6867,103.4
NELLInductive:v4,A_GraIL,2894,0.4907,0.4753,0.5063,0.3742,0.6973,0.4555,0.4905,0.3732,0.7011,100.0
FBIngram:25,B_InGram,11432,0.3117,0.3052,0.3194,0.2008,0.5441,0.2837,0.3830,0.2619,0.6332,81.4
FBIngram:50,B_InGram,7758,0.2723,0.2643,0.2798,0.1767,0.4688,0.2397,0.3303,0.2300,0.5357,82.4
FBIngram:75,B_InGram,6212,0.3386,0.3290,0.3476,0.2342,0.5398,0.2933,0.3905,0.2864,0.5943,86.7
FBIngram:100,B_InGram,4658,0.3830,0.3713,0.3946,0.2836,0.5790,0.2837,0.4383,0.3377,0.6314,87.4
WKIngram:25,B_InGram,2262,0.2848,0.2688,0.3000,0.1861,0.4836,0.2612,0.3072,0.2122,0.5071,92.7
WKIngram:50,B_InGram,6450,0.1590,0.1520,0.1658,0.0957,0.2950,0.1614,0.1577,0.0910,0.2957,100.8
WKIngram:75,B_InGram,2288,0.3271,0.3114,0.3435,0.2404,0.4838,0.3373,0.3731,0.2898,0.5188,87.7
WKIngram:100,B_InGram,8992,0.1330,0.1276,0.1384,0.0665,0.2609,0.1069,0.1782,0.1193,0.2893,74.6
NLIngram:0,B_InGram,1526,0.3266,0.3076,0.3452,0.2169,0.5695,0.3304,0.3472,0.2595,0.5144,94.1
NLIngram:25,B_InGram,1488,0.3976,0.3768,0.4189,0.2917,0.5974,0.3742,0.3865,0.2991,0.5383,102.9
NLIngram:50,B_InGram,1718,0.3925,0.3724,0.4120,0.2806,0.5925,0.3434,0.3976,0.3120,0.5489,98.7
NLIngram:75,B_InGram,1214,0.3504,0.3287,0.3722,0.2455,0.5519,0.3279,0.3478,0.2619,0.5272,100.7
NLIngram:100,B_InGram,1586,0.4348,0.4147,0.4550,0.3228,0.6444,0.4127,0.4422,0.3424,0.6305,98.3
